Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,811.0,16.0,28.0,2714.0,0.1,20.00700000000001,0.0,0.0,507.09274888038635,,,,,,,,,,,,,,,,,,,,,8.165721110157886,6.961514292335569,19.817975942825285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,852.0,17.0,41.0,2755.0,0.1,30.010000000000012,0.0,0.0,511.00266337394714,,,,,,,,,,,,,,,,,,,,,11.961812557362457,10.201169998480582,29.578693493441534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,886.0,18.0,34.0,2789.0,0.1,24.00900000000001,0.0,0.0,514.335517168045,,,,,,,,,,,,,,,,,,,,,9.461205194179666,8.295582387194973,23.734764818269618,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,928.0,19.0,42.0,2831.0,0.1,29.012000000000015,0.0,0.0,518.5664241313934,,,,,,,,,,,,,,,,,,,,,10.951584309054834,9.959699773176876,28.609223296389185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1028.0,20.0,100.0,2931.0,0.1,92.00700000000003,0.0,0.0,527.4044239521027,,,,,,,,,,,,,,,,,,,,,42.395988176256836,27.3024627602079,87.94319963845162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,98.0,1.0,98.0,3029.0,0.1,87.01000000000005,0.0,0.0,694.5383732318878,,,,,,,,,,,,,,,,,,,,,38.82377245827283,26.481050531146717,83.37193078873597,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,141.0,2.0,43.0,3072.0,0.1,33.00899999999998,0.0,0.0,698.6893210411072,,,,,,,,,,,,,,,,,,,,,13.670963270220637,11.057663784197272,32.48608826983191,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,205.0,3.0,64.0,3136.0,0.1,57.005999999999986,0.0,0.0,704.5941677093506,,,,,,,,,,,,,,,,,,,,,26.22342518797214,17.60642414342286,55.43852239423586,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,251.0,4.0,46.0,3182.0,0.1,39.005999999999986,0.0,0.0,709.0131089687347,,,,,,,,,,,,,,,,,,,,,17.580348834623074,12.524847652999577,38.27381330640685,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,388.0,5.0,137.0,3319.0,0.1,128.00800000000004,0.0,0.0,721.2531170845032,,,,,,,,,,,,,,,,,,,,,58.67385930669389,36.89804014194126,120.20998102705609,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
